priority,name,,,,,,,,,,,,,,,,
10401100,golden electric orb,,,,,,,,,,,,,,,,
10305103,doppleganger,,,,,,,,,,,,,,,,
10304103,tar monster,,,,,,,,,,,,,,,,
10303202,fire beetle,,,,,,,,,,,,,,,,
10303202,ice beetle,,,,,,,,,,,,,,,,
10303104,orange armadillo,,,,,,,,,,,,,,,,
10303104,purple orc,,,,,,,,,,,,,,,,
10302204,yellow armored skeleton,,,,,,,,,,,,,,,,
10302203,red electric mage,,,,,,,,,,,,,,,,
10302203,yellow skeleton,,,,,,,,,,,,,,,,
10302105,yellow armadillo,,,,,,,,,,,,,,,,
10301404,toad,,,,,,,,,,,,,,,,
10301203,harpy,,,,,,,,,,,,,,,,
10301202,hellhound,,,,,,,,,,,,,,,,
10301120,green bat,,,,,,,,,,,,,,,,
10301102,clone,,,,,,,,,,,,,,,,
10301102,ghoul(z4 skyblue spirit),,,,,,,,,,,,,,,,
10301102,purple slime,,,,,,,,,,,,,,,,
10301102,black slime,,,,,,,,,,,,,,,,
10301101,fire slime,,,,,,,,,,,,,,,,
10301101,ice slime,,,,,,,,,,,,,,,,
10301100,red electric orb,,,,,,,,,,,,,,,,
10301100,locked chest mimic,,,,,,,,,,,,,,,,
10301100,white chest mimic,,,,,,,,,,,,,,,,
10202202,blue slime,,,,,,,,,,,,,,,,
10202200,yellow skull,,,,,,,,,,,,,,,,
10202105,pink evileye,,,,,,,,,,,,,,,,
10202103,pink orc,,,,,,,,,,,,,,,,
10201402,blue mushroom,,,,,,,,,,,,,,,,
10201303,red devil,,,,,,,,,,,,,,,,
10201202,white windmage,,,,,,,,,,,,,,,,
10201201,zombie,,,,,,,,,,,,,,,,
10201103,wall mimic,,,,,,,,,,,,,,,,
10201103,red bat,,,,,,,,,,,,,,,,
10201103,wight(z2 green spirit),,,,,,,,,,,,,,,,
10201102,white skeleton knight,,,,,,,,,,,,,,,,
10201102,white armadillo,,,,,,,,,,,,,,,,
10201102,ghast(z3 pink spirit),,,,,,,,,,,,,,,,
10201102,ghost,,,,,,,,,,,,,,,,
10201102,hotcoal cauldron mimic,,,,,,,,,,,,,,,,
10201100,shop wall mimic,,,,,,,,,,,,,,,,
10201100,crate mimic,,,,,,,,,,,,,,,,
10201100,barrel mimic,,,,,,,,,,,,,,,,
10201100,shrine mimic,,,,,,,,,,,,,,,,
10201100,red chest mimic,,,,,,,,,,,,,,,,
10103915,black sarcophagus,,,,,,,,,,,,,,,,
10102910,yellow sarcophagus,,,,,,,,,,,,,,,,
10101805,white sarcophagus,,,,,,,,,,,,,,,,
10101202,white armored skeleton,,,,,,,,,,,,,,,,
10101202,blue bat,,,,,,,,,,,,,,,,
10101202,white skeleton,,,,,,,,,,,,,,,,
10101202,electric mage,,,,,,,,,,,,,,,,
10101201,goblin sentry,,,,,,,,,,,,,,,,
10101200,crystal skull,,,,,,,,,,,,,,,,
10101200,white skull,,,,,,,,,,,,,,,,
10101103,evileye,,,,,,,,,,,,,,,,
10101102,green orc,,,,,,,,,,,,,,,,
10101102,orange slime,,,,,,,,,,,,,,,,
10101102,wraith(z1 red spirit),,,,,,,,,,,,,,,,
10101101,electric zombie,,,,,,,,,,,,,,,,
10101100,conductor sarcophagus,,,,,,,,,,,,,,,,
10101100,purple electric orb,,,,,,,,,,,,,,,,
10006103,white monkey,,,,,,,,,,,,,,,,
10004103,green monkey,,,,,,,,,,,,,,,,
10004101,purple monkey,,,,,,,,,,,,,,,,
10003102,grey shove monster,,,,,,,,,,,,,,,,
10003100,golden gorgon,,,,,,,,,,,,,,,,
10002103,magic monkey,,,,,,,,,,,,,,,,
10002102,shove monster,,,,,,,,,,,,,,,,
10001102,green gorgon,,,,,,,,,,,,,,,,
10001102,tar ball,,,,,,,,,,,,,,,,
10001102,cursed wraith(z5 yellow spirit),,,,,,,,,,,,,,,,
10001101,waterball,,,,,,,,,,,,,,,,
